Name,Website,Youtube,About,TrustFactors,Topics,Wikipedia,X
Reporting by Matt Taibbi,https://taibbi.substack.com/,https://www.youtube.com/@matttaibbibehindthenews2633,US political news,Owned by journalist Matt Taibbi. For-profit. Funded by subscriptions.,,https://en.wikipedia.org/wiki/Matt_Taibbi,https://twitter.com/mtaibbi
Resilience (Post Carbon Institute),https://www.resilience.org,n/a,"Supports building community resilience in a world of multiple emerging challenges: decline of cheap energy, depletion of critical resources, environmental crises, and related social and economic issues. Covers news, research, and analysis in areas such as energy, economy, environment, food & water, society, geopolitics, ecology, population, finance, urban design, health, and religious and gender issues.","Strong infrastructure, diverse governance structure, thriving workplace culture, and strategic plan for service delivery. Demonstrates resilience through adaptability and response to crisis, similar to bamboo scaffolding.","Supports community resilience; focuses on environmental, economic, and social challenges.",https://en.wikipedia.org/wiki/Resilience_(organisation),https://twitter.com/resilience_me
Reveal – Center for Investigative Reporting,https://www.revealnews.org/,https://www.youtube.com/@reveal,"US news, investigative reporting. Viewpoint: to shine a bright light on injustice and protect the most vulnerable.","Published by the Center for Investigative Reporting, a nonprofit organization. Funded by individuals and grants. No government funding.","Covers a range of investigative journalism topics including criminal justice, equity, inequality, justice, gun violence, immigration, and voting access & rights. Engages in data-driven reporting, including explanatory and investigative reporting, newsroom collaborations, podcasts, and storytelling. Focuses on engaging and empowering the public through journalism that sparks action, improves lives, and protects democracy.",https://en.wikipedia.org/wiki/Reveal_(radio_program),https://twitter.com/Reveal
Sludge,https://readsludge.com/,n/a,Reporting on lobbying and money in politics,"Funded by donations and grants. No money from advertisers, interest groups, or corporations. Viewpoint: committed to exposing special interest lobbying.","Investigative journalism on lobbying and money in politics, special interests, corporate networks in government, economic powers shaping public policy",n/a,https://twitter.com/Sludge
The 19th News,https://www.19thnews.org/,https://www.youtube.com/@19thNews,"The intersection of gender, politics and policy",Nonprofit. Funded by donations and grants. Viewpoint: empowering women.,"Gender, politics, policy, business and economy, coronavirus, education, environment and climate, health, immigration, justice, LGTBQ+ issues, race",https://en.wikipedia.org/wiki/The_19th_(news_website),https://twitter.com/19thnews
The Appeal,https://theappeal.org/,n/a,Impact of the political and legal system on the most vulnerable,"Nonprofit. Published by The Justice Collaborative, which is a fiscally sponsored project of Tides Advocacy. Funded by donations. Viewpoint: social justice.","Exposing failures and harms of the U.S. criminal legal system, systemic racism in justice, police accountability, prison abolition, alternatives to incarceration, criminal justice reform, death penalty, pretrial and prosecution practices, solitary confinement issues",https://en.wikipedia.org/wiki/The_Appeal_(website),https://twitter.com/theappeal
The Center for Public Integrity,https://publicintegrity.org/,https://www.youtube.com/@PublicintegrityOrg,"The Center for Public Integrity was founded in 1989 by Charles Lewis. We are one of the country's oldest and largest nonpartisan, nonprofit investigative news organizations. We are also the winner of the 2014 Pulitzer Prize for investigative reporting and the 2017 Pulitzer Prize for explanatory reporting.",501(c)(3) nonprofit organization. Funded by donations and grants,"Inequity, Threats to democracy, Trade policy and lobbying, Political fundraising and campaign finance, War profiteering, Pharmaceutical lobbying, Financial crisis, Climate change lobbying, Global cigarette smuggling, Sexual assault on campuses, Chemical industry influence, Offshore banking and global corruption",https://en.wikipedia.org/wiki/Center_for_Public_Integrity,https://twitter.com/publici
The Conversation,https://theconversation.com/us,https://www.youtube.com/@TheConversation,Academic journalism on national and world issues,Independent and not-for-profit. Funded by universities and foundations.,"In-depth analysis and commentary on a variety of topics including politics, science, health, education, environment, technology, and culture",https://en.wikipedia.org/wiki/The_Conversation_(website),https://twitter.com/ConversationUS
Daily Beast,http://www.thedailybeast.com/,https://www.youtube.com/@TheDailyBeast,"The Daily Beast is an American news website focused on politics, media, and pop culture. Founded in 2008, headquartered in New York City.","Parent company is IAC (InterActiveCorp), led by Barry Diller. For-profit organization.","Politics, Media, Pop culture, Scandals, Confronting bullies and hypocrites, Bipartisan political coverage, White House and Trump Administration",https://en.wikipedia.org/wiki/The_Daily_Beast,https://twitter.com/thedailybeast
The Daily Poster,https://sirota.substack.com/,n/a,US political news,For-profit newsletter and website featuring political news and commentary by investigative reporter David Sirota. Funded by subscriptions.,"In-depth analysis and commentary on politics, economic policy, corporate power, labor issues, and media criticism",https://en.wikipedia.org/wiki/David_Sirota,https://twitter.com/davidsirota
The GroundTruth Project,https://thegroundtruthproject.org/,https://www.youtube.com/@GroundTruthProject,US and world news by emerging journalists,Nonprofit. Funded by donations and grants.,"Social justice and human rights issues, in-depth special reports, media industry, misinformation, global challenges, race-focused stories, public health, environment, religion, humanitarian crises",n/a,https://twitter.com/groundtruth
The Guardian,https://www.theguardian.com/,https://www.youtube.com/@guardiannews,"The Guardian - US Version is a division of the Guardian, headquartered in the United Kingdom.","Owned by a private company that cannot pay dividends. Funded by an endowment, by foundations, and by readers. Viewpoint: center-left.",US and world news,https://en.wikipedia.org/wiki/The_Guardian,https://twitter.com/guardian
The Indypendent,https://indypendent.org,https://www.youtube.com/@theindypendent6946,"The Indypendent is a free, progressive newspaper and online news site, focusing on social justice movements in New York and beyond.","Reader-supported news, funded through donations and advertising. Nonprofit organization.","Progressive news covering social justice movements, local and international news, public health, environmental issues, labor movements, political analysis",https://en.wikipedia.org/wiki/The_Indypendent,https://twitter.com/indypendent
The Intercept,https://theintercept.com/,https://www.youtube.com/@TheInterceptFLM,"We believe the prime value of journalism is that it imposes transparency, and thus accountability, on those who wield the greatest governmental and corporate power. Our journalists will be not only permitted, but encouraged, to pursue stories without regard to whom they might alienate.","Funded by eBay founder Pierre Omidyar’s media company, First Look Media. Funding structure unclear.","Surveillance, Whistleblowers, Government transparency, Civil liberties, National security, Criminal justice reform, Climate change, Corporate power, Privacy issues, Social justice, Technology and its impact on society, Immigration, Political corruption, Investigative journalism, International affairs",https://en.wikipedia.org/wiki/The_Intercept,https://twitter.com/theintercept
The Marshall Project,https://www.themarshallproject.org/,https://www.youtube.com/@TheMarshallProject,U.S. criminal justice system,501(c)(3) nonprofit. Funding: foundations and individuals. Viewpoint: to create and sustain a sense of national urgency about the U.S. criminal justice system. Committed to a diverse workforce.,"Criminal justice reform, Incarceration, Prison system, Policing, Criminal justice policy, Mass incarceration, Sentencing, Juvenile justice, Death penalty, Criminal justice data, Criminal justice disparities, Legal system, Prison conditions, Criminal justice reporting, Racial disparities in the criminal justice system",https://en.wikipedia.org/wiki/The_Marshall_Project,https://twitter.com/MarshallProj
The Progressive,https://progressive.org,https://www.youtube.com/theprogressive,"Platform for voices of dissent and those under-represented in mainstream media. It champions grassroots progressive politics, with a focus on peace, social justice, and the common good.",Reader-supported nonprofit since 1909,"Resistance, Democracy, Climate, COVID-19, Disability Rights, Foreign Policy, Gender Justice, Health Care, Housing, Labor, LGBTQ+, Racial Justice, War and Peace, Magazine, Public Schools Advocate, About Public Schools Advocate, Donor Transparency",https://en.wikipedia.org/wiki/The_Progressive,https://twitter.com/thenation
Real News Network,https://therealnews.com/,https://www.youtube.com/@TheRealNews,"The Real News Network is a platform that focuses on principled journalism that delves into the root causes of various crises. They prioritize journalism that empowers people to take action and address issues such as worker exploitation, the climate crisis, white supremacy, and more. They produce shows, podcasts, and series that provide in-depth analysis and reporting on these issues.","501(c)(3) nonprofit organization. Funded by donations and grants. No ads, no corporate or government funding. It relies on donations from its community.","US news, international news, justice, equality, ecology, climate crisis, economy and inequality, movements and politics (both international and in the US), prisons and policing, racial justice",https://en.wikipedia.org/wiki/The_Real_News_Network,https://twitter.com/TheRealNews
The Trace,https://www.thetrace.org/,n/a,Gun violence in the U.S.,Nonprofit. Funded by grants and donations.,"gun violence crisis, gun accountability, firearm related crimes, deaths, injuries",https://en.wikipedia.org/wiki/The_Trace_(website),https://twitter.com/teamtrace
The World from PRX,https://www.pri.org/,n/a,US and world news,"Public Radio International (PRI) has merged with Public Radio Exchange (PRX). The World is a co-production of PRX, WGBH and the BBC World Service. PRX is a 501(c)(3) nonprofit organization funded by donations and grants. WGBH is a public radio station funded by donations, grants, and corporate sponsorships. BBC World Service is funded by the British government.","Social Justice Issues, Global Issues and Women's Rights, Immigration and Diversity",https://en.wikipedia.org/wiki/The_World_(radio_program),https://twitter.com/pritheworld
Truth Be Told,http://truthbetold.news/category/fact-checks/,n/a,"TruthBeTold.news (formerly called HU Insight) is a nonprofit, non-partisan website and digital network, run and edited from Howard University’s Department of Media, Journalism and Film in the School of Communications. It uses journalistic skills and crowdsourced information to play a leading role by examining claims about the black community in public debate .","Funded through grants and donations, project of Howard University. Nonprofit organization.","Black Lives Matter and Social Justice, Education, Fact-Checks and Myths, Music and Culture, Politics and Government, Economics and Racial Wealth Gap",https://en.wikipedia.org/wiki/TruthBeTold.news,https://twitter.com/truthbetoldnews
TruthDig,http://www.truthdig.com/,https://www.youtube.com/@truthdig,"Truthdig, founded in 2005 by Publisher Zuade Kaufman and Editor in Chief Robert Scheer, is dedicated to reporting on current issues that are insufficiently covered by mainstream media. The website’s mission is to dig beneath the headlines, provide expert reporting and commentary from a progressive point of view, and offer an outlet for original work by exceptional journalists.","Held through Truthdig LLC, generates revenue through advertising, donations, and grants. For-profit organization.","Arts Criticism, Activism, Politics, Environment, Education, Diversity, Science, Technology, World Regions",https://en.wikipedia.org/wiki/Truthdig,https://twitter.com/truthdig
TruthOut,http://www.truth-out.org/,https://www.youtube.com/@truthout,"Truthout works to spark action by revealing systemic injustice and providing a platform for transformative ideas, through in-depth investigative reporting and critical analysis. With a powerful, independent voice, we will spur the revolution in consciousness and inspire the direct action that is necessary to save the planet and humanity.",Nonprofit. Funded primarily by donations from readers. Some foundation grants. No ads or corporate funding.,"Social Justice, Investigative Journalism, Political Analysis, Environmental Issues, Corporate Influence, Human Rights, U.S. Politics, Progressive Perspectives",https://en.wikipedia.org/wiki/Truthout,https://twitter.com/truthout
Type Investigations,https://typeinvestigations.org/,n/a,Investigative reporting,"501(c)(3) nonprofit organization, formerly the Investigative Fund of the Nation Institute, which was affiliated with the Nation magazine. Funded by donations and grants.",,https://en.wikipedia.org/wiki/Type_Investigations,https://twitter.com/typeinvestigate
Unicorn Riot,https://unicornriot.ninja/,https://www.youtube.com/@UnicornRiot,US news,501(c)(3) nonprofit organization. Funded by donations. Independent of corporate or government control. Viewpoint: exposing root causes of dynamic social and environmental issues,"decentralized media, educational, non-profit, independent journalism, underrepresented stories, alternative perspectives, diverse stories, community engagement, non-hierarchical, free nonprofit news",https://en.wikipedia.org/wiki/Unicorn_Riot,https://twitter.com/UR_Ninja
Who.What.Why,https://whowhatwhy.org/,https://www.youtube.com/@WhoWhatWhy,"WhoWhatWhy embodies a form of investigative reporting that is rigorous, relentless and scientific — we call it forensic journalism.",Nonprofit. Readers supported.,"Investigative Journalism, Politics, Elections, International Affairs, Justice, Hidden Power, Economy, Science, Technology, Culture, Opinions, Analysis, Multimedia Content, Election Integrity, Environmental Journalism, Mentor-Apprentice Program",https://en.wikipedia.org/wiki/WhoWhatWhy,https://twitter.com/whowhatwhy
Yale Environment 360,https://e360.yale.edu/,n/a,Environmental news,Published by the Yale School of Forestry and Environmental Studies. Yale is a private research university. Funded by grants.,"biodiversity, climate change, energy, food and agriculture, oceans, policy, cities, solutions to environmental challenges",https://en.wikipedia.org/wiki/Yale_Environment_360,https://twitter.com/YaleE360
Yes Magazine,http://www.yesmagazine.org/,n/a,"Yes! Magazine reframes the biggest problems of our time in terms of their solutions. Online and in print, we outline a path forward with in-depth analysis, tools for citizen engagement, and stories about real people working for a better world.","Owned and published by Positive Futures Network, a 501 (c) (3) nonprofit organization, funded through donations and subscription fees. Nonprofit organization.","Independent Publisher, Solutions Journalism, Social Justice, Environmental Sustainability, Alternative Economics, Peace, Community-based Solutions, Active Engagement, Just Transition, Sanctuary City, Solidarity Economy, Decolonization, Recycled Paper Use, Progressive Journalism Network, Racial Justice, Government and Politics Reporting, Digital Innovation, Environment, Nature, Science Reporting",https://en.wikipedia.org/wiki/Yes!_(U.S._magazine),https://twitter.com/yesmagazine
Z Network,https://znetwork.org,https://www.youtube.com/@znetwork_official,"Dedicated to developing vision and strategic activism, resisting injustice, defending against repression, and fostering liberty, ZNetwork views the racial, gender, class, political, and ecological dimensions of life as fundamental to understanding and improving contemporary circumstances. It's a platform for educational content, vision, and strategic analysis, aimed at assisting activist efforts for a better future","Owned by Z Network, a left-wing activist-oriented media group. Funded through donations. Nonprofit organization under Institute for Social and Cultural Communications, Inc.","Activism, Politics/Government, International Relations, Climate Change, Labor, Memorial, Social Theory, Vision & Strategy, Law/Crime/Justice, Media, Institutional Racism, U.S. Foreign Policy, Global Economy, Economic Vision, Radical Theory, Political Economy, Anti-Capitalism, Libertarian Socialism, Participatory Economics, Alternative Media",https://en.wikipedia.org/wiki/Z_Communications,https://twitter.com/zcomm
